,Name of Village,Sampled Year,Land Area,Longitude,Lattitude,pH,EC,OC,P,K,S,Zn,Fe,Cu,Mn,B,Fertility Index,Crop Name,Irrigation Pattern,Crop Rotation,Fertilizer Used,Yield Returns,YR(Label)
25,Varadaganahalli Avani Hobli,2016-17,0.13,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,Millet is Native,Rainfeed,Yes,InOrganic,Good,2
26,Varadaganahalli Avani Hobli,2016-17,0.26,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
27,Varadaganahalli Avani Hobli,2016-17,1.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
28,Varadaganahalli Avani Hobli,2016-17,1.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,2.0,Tomato Hybrid,Irrigation,No,InOrganic,Moderate,3
29,Varadaganahalli Avani Hobli,2016-17,1.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
30,Varadaganahalli Avani Hobli,2016-17,1.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,2.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
31,Varadaganahalli Avani Hobli,2016-17,1.1,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Millet is Native,Rainfeed,Yes,Organic,High,1
32,Varadaganahalli Avani Hobli,2016-17,2.0,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,2.0,Eggplant,Rainfeed,No,InOrganic,Moderate,3
33,Varadaganahalli Avani Hobli,2016-17,1.2,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,4.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
34,Varadaganahalli Avani Hobli,2016-17,2.0,78.563611232,13.242500054,7.4,0.86,0.41,206.0,258.0,293.0,0.61,3.83,0.31,7.39,4.0,2.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
35,Varadaganahalli Avani Hobli,2016-17,0.38,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
36,Varadaganahalli Avani Hobli,2016-17,0.5,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,Millet is Native,Rainfeed,Yes,InOrganic,Good,2
37,Varadaganahalli Avani Hobli,2016-17,0.24,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
38,Varadaganahalli Avani Hobli,2016-17,0.2,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,Mango,Rainfeed,No,InOrganic,Good,2
39,Varadaganahalli Avani Hobli,2016-17,0.5,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Mango,Rainfeed,No,Organic,High,1
40,Varadaganahalli Avani Hobli,2016-17,0.3,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
41,Varadaganahalli Avani Hobli,2016-17,0.9,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Mango,Rainfeed,No,Organic,Moderate,3
42,Varadaganahalli Avani Hobli,2016-17,0.3,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
43,Varadaganahalli Avani Hobli,2016-17,0.4,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,1.0,Tomato Hybrid,Rainfeed,No,Organic,High,1
44,Varadaganahalli Avani Hobli,2016-17,0.3,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,Mango,Rainfeed,No,InOrganic,Moderate,3
45,Varadaganahalli Avani Hobli,2016-17,0.2,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,3.0,Mango,Irrigation,No,InOrganic,Good,2
46,Varadaganahalli Avani Hobli,2016-17,0.1,78.40000012,13.20000008,7.6,0.9,0.23,32.0,373.0,79.0,0.28,5.96,0.5,8.78,0.53,4.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
47,Varadaganahalli Avani Hobli,2016-17,0.3,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,3.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
48,Varadaganahalli Avani Hobli,2016-17,0.3,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,1.0,Tomato,Rainfeed,No,Organic,High,1
49,Varadaganahalli Avani Hobli,2016-17,1.2,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,4.0,Tomato,Rainfeed,No,InOrganic,Moderate,3
50,Varadaganahalli Avani Hobli,2016-17,1.2,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,4.0,Tomato,Irrigation,No,Organic,Moderate,3
51,Varadaganahalli Avani Hobli,2016-17,1.0,78.55555567,13.242500054,7.6,1.34,0.23,52.0,437.0,200.0,0.25,5.37,0.33,8.19,1.1,4.0,Tomato,Rainfeed,No,InOrganic,Moderate,3
52,Varadaganahalli Avani Hobli,2016-17,1.33,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,2.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
53,Varadaganahalli Avani Hobli,2016-17,0.22,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,3.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
54,Varadaganahalli Avani Hobli,2016-17,0.22,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,1.0,Millet is Native,Rainfeed,Yes,Organic,High,1
55,Varadaganahalli Avani Hobli,2016-17,0.2,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
56,Varadaganahalli Avani Hobli,2016-17,0.18,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,4.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
57,Varadaganahalli Avani Hobli,2016-17,1.14,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,1.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
58,Varadaganahalli Avani Hobli,2016-17,1.0,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,2.0,Tomato Hybrid,Irrigation,No,InOrganic,Moderate,3
59,Varadaganahalli Avani Hobli,2016-17,0.12,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,3.0,Tomato Hybrid,Rainfeed,No,InOrganic,Good,2
60,Varadaganahalli Avani Hobli,2016-17,0.7,78.40000012,13.20000008,6.0,1.0,0.19,7.0,346.0,83.0,0.3,4.1,2.3,7.02,0.27,2.0,Tomato Hybrid,Rainfeed,No,Organic,High,1
61,Varadaganahalli Avani Hobli,2016-17,1.1,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,Tomato Hybrid,Irrigation,No,Organic,High,1
62,Varadaganahalli Avani Hobli,2016-17,2.5,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,3.0,High Yield of Millet,Irrigation,Yes,InOrganic,Good,2
63,Varadaganahalli Avani Hobli,2016-17,2.33,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,2.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
64,Varadaganahalli Avani Hobli,2016-17,0.24,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
65,Varadaganahalli Avani Hobli,2016-17,1.11,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
66,Varadaganahalli Avani Hobli,2016-17,1.32,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
67,Varadaganahalli Avani Hobli,2016-17,0.22,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
68,Varadaganahalli Avani Hobli,2016-17,0.22,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
69,Varadaganahalli Avani Hobli,2016-17,0.2,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,1.0,Tomato Hybrid,Rainfeed,No,Organic,High,1
70,Varadaganahalli Avani Hobli,2016-17,0.13,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,2.0,Tomato Hybrid,Rainfeed,No,Organic,High,1
71,Varadaganahalli Avani Hobli,2016-17,1.8,78.343611186,13.5993,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,Tomato Hybrid,Irrigation,No,InOrganic,Moderate,3
72,Varadaganahalli Avani Hobli,2016-17,2.4,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,3.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
73,Varadaganahalli Avani Hobli,2016-17,0.24,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
74,Varadaganahalli Avani Hobli,2016-17,0.2,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,Millet is Native,Irrigation,Yes,InOrganic,Moderate,3
75,Varadaganahalli Avani Hobli,2016-17,0.16,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
76,Varadaganahalli Avani Hobli,2016-17,1.5,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
77,Varadaganahalli Avani Hobli,2016-17,4.21,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
78,Varadaganahalli Avani Hobli,2016-17,2.1,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,3.0,Millet is Native,Rainfeed,Yes,InOrganic,Good,2
79,Varadaganahalli Avani Hobli,2016-17,1.5,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
80,Varadaganahalli Avani Hobli,2016-17,0.5,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,1.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
81,Varadaganahalli Avani Hobli,2016-17,0.12,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,1.0,Bean,Irrigation,No,InOrganic,Moderate,3
82,Varadaganahalli Avani Hobli,2016-17,1.18,78.346666744,13.14305559,7.6,1.31,0.29,8.0,336.0,43.0,0.96,4.39,1.4,5.58,0.4,2.0,Bean,Irrigation,No,Organic,High,1
83,Varadaganahalli Avani Hobli,2016-17,3.29,78.346666744,13.14305559,7.6,1.31,0.29,8.0,336.0,43.0,0.96,4.39,1.4,5.58,0.4,3.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
84,Varadaganahalli Avani Hobli,2016-17,0.5,78.58472235,13.22083338,6.4,0.38,0.18,17.0,227.0,156.9,0.45,1.4,0.42,17.3,3.2,1.0,Millet is Native,Rainfeed,Yes,Organic,High,1
85,Varadaganahalli Avani Hobli,2016-17,1.7,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,2.0,Bean,Rainfeed,No,Organic,High,1
86,Varadaganahalli Avani Hobli,2016-17,1.6,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,1.0,Bean,Irrigation,No,InOrganic,Moderate,3
87,Varadaganahalli Avani Hobli,2016-17,0.15,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,2.0,Bean,Rainfeed,No,InOrganic,Moderate,3
88,Varadaganahalli Avani Hobli,2016-17,0.17,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,4.0,Bean,Irrigation,No,InOrganic,Moderate,3
89,Varadaganahalli Avani Hobli,2016-17,0.15,78.343611186,14.11111192,6.8,0.3,0.23,64.0,276.0,17.4,0.22,1.17,0.5,6.06,0.55,2.0,Tomato Hybrid,Rainfeed,No,InOrganic,Moderate,3
90,Varadaganahalli Avani Hobli,2016-17,1.19,78.346666744,13.14305559,7.6,1.31,0.29,8.0,336.0,43.0,0.96,4.39,1.4,5.58,0.4,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
91,Varadaganahalli Avani Hobli,2016-17,1.0,78.593333468,13.233888936,7.3,0.24,0.16,7.0,349.0,66.4,0.82,0.21,1.2,3.75,0.4,3.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
92,Varadaganahalli Avani Hobli,2016-17,1.0,78.593333468,13.236944504,6.8,1.13,0.32,9.0,373.0,94.0,0.25,7.73,0.38,9.81,1.0,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
93,Varadaganahalli Avani Hobli,2016-17,1.0,78.593333468,13.241944498,7.6,0.23,0.21,12.0,284.0,47.4,0.56,3.68,1.2,6.47,0.31,3.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
94,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,4.0,Tomato Hybrid,Irrigation,No,Organic,Moderate,3
95,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,Tomato Hybrid,Rainfeed,No,InOrganic,Moderate,3
96,Varadaganahalli Avani Hobli,2016-17,2.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,4.0,High Yield of Millet,Rainfeed,Yes,Organic,Moderate,3
97,Varadaganahalli Avani Hobli,2016-17,1.25,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,High Yield of Millet,Irrigation,Yes,Organic,High,1
98,Varadaganahalli Avani Hobli,2016-17,1.25,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,3.0,Tomato Nati,Rainfeed,No,Organic,Moderate,3
99,Varadaganahalli Avani Hobli,2016-17,2.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,Tomato Hybrid,Irrigation,No,InOrganic,Moderate,3
100,Varadaganahalli Avani Hobli,2016-17,2.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,4.0,Tomato Hybrid,Irrigation,No,InOrganic,Moderate,3
101,Varadaganahalli Avani Hobli,2016-17,1.14,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,3.0,Tomato Hybrid,Irrigation,No,Organic,Moderate,3
102,Varadaganahalli Avani Hobli,2016-17,4.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,4.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
103,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,High Yield of Millet,Rainfeed,Yes,Organic,High,1
104,Varadaganahalli Avani Hobli,2016-17,3.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
105,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,High Yield of Millet,Irrigation,Yes,Organic,High,1
106,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,Millet is Native,Rainfeed,Yes,InOrganic,Moderate,3
107,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,3.0,Millet is Native,Rainfeed,Yes,Organic,Moderate,3
108,Varadaganahalli Avani Hobli,2016-17,1.5,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
109,Varadaganahalli Avani Hobli,2016-17,1.38,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,High Yield of Millet,Rainfeed,Yes,InOrganic,Moderate,3
110,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,Millet is Native,Irrigation,Yes,Organic,High,1
111,Varadaganahalli Avani Hobli,2016-17,2.33,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,4.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
112,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,Millet is Native,Irrigation,Yes,Organic,High,1
113,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,3.0,Millet is Native,Irrigation,Yes,InOrganic,Good,2
114,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,3.0,High Yield of Millet,Irrigation,Yes,Organic,Moderate,3
115,Varadaganahalli Avani Hobli,2016-17,1.6,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,High Yield of Millet,Irrigation,Yes,Organic,High,1
116,Varadaganahalli Avani Hobli,2016-17,1.38,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,2.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
117,Varadaganahalli Avani Hobli,2016-17,1.0,78.59305569,13.228888942,6.8,1.14,0.18,12.0,258.0,77.0,0.25,6.4,0.22,9.74,0.8,1.0,High Yield of Millet,Irrigation,Yes,InOrganic,Moderate,3
